Designator,Mid X,Mid Y,Rotation,Layer
C1,78.9,-101.4,0.0,top
C10,88.63,-114.92,90.0,top
C11,76.65,-111.175,90.0,top
C12,79.7,-111.175,90.0,top
C13,78.175,-111.175,90.0,top
C14,138.7,-101.9,90.0,top
C15,140.25,-101.9,90.0,top
C16,141.8,-101.9,90.0,top
C17,138.2,-112.2,180.0,top
C18,134.6,-101.9,270.0,top
C19,132.65,-101.9,270.0,top
C2,85.95,-101.425,0.0,top
C20,111.55,-108.55,0.0,top
C21,137.15,-101.9,270.0,top
C22,130.9,-101.9,90.0,top
C23,127.5,-101.9,90.0,top
C24,124.1,-101.9,90.0,top
C25,98.5,-111.4,90.0,top
C26,82.119,-103.725,270.0,top
C27,89.125,-103.725,270.0,top
C28,96.15,-103.725,270.0,top
C29,117.6,-101.925,270.0,top
C3,92.975,-101.45,0.0,top
C30,114.4,-101.925,270.0,top
C32,110.7,-101.9,270.0,top
C33,120.7,-101.875,270.0,top
C5,51.2,-86.0,270.0,top
C6,147.869,-111.37826,90.0,top
C7,101.4,-101.9,270.0,top
C8,90.155,-114.92,90.0,top
C9,91.68,-114.92,90.0,top
CD1,155.794,-68.162,180.0,top
CD2,85.6552,-72.2414,270.0,top
CD3,155.476,-77.784,180.0,top
CD4,155.476,-81.34,180.0,top
CD5,118.617,-72.7204,270.0,top
CD6,155.8,-64.782,180.0,top
CGS1,53.594,-64.529,90.0,top
CGS10,55.1,-87.3,0.0,top
CGS11,64.262,-81.525,90.0,top
CGS12,74.6,-81.325,90.0,top
CGS13,89.6,-87.425,90.0,top
CGS14,96.6,-81.675,270.0,top
CGS15,106.9,-81.425,270.0,top
CGS16,122.0,-87.6,90.0,top
CGS17,129.032,-81.648,90.0,top
CGS18,139.319,-81.6,90.0,top
CGS2,64.2,-64.825,270.0,top
CGS3,74.5,-64.8,270.0,top
CGS4,85.9,-64.4,270.0,top
CGS5,96.5,-64.8,270.0,top
CGS6,106.9,-64.725,270.0,top
CGS7,118.3,-64.725,270.0,top
CGS8,128.9,-64.925,270.0,top
CGS9,139.2,-64.975,270.0,top
CR1,57.5,-38.225,270.0,bottom
CR2,77.125,-38.17222,270.0,bottom
CR3,97.05,-38.17222,270.0,bottom
CR4,117.075,-38.17222,270.0,bottom
CR5,136.925,-38.17222,270.0,bottom
CX1,51.0,-53.125,90.0,top
CX2,65.25,-51.9202,90.0,top
CX20,145.75,-51.9202,90.0,top
CX3,69.0,-51.9202,90.0,top
CX4,85.25,-51.9202,90.0,top
CX5,89.0,-51.9202,90.0,top
CX6,105.5,-51.9202,90.0,top
CX7,109.0,-51.9202,90.0,top
CX8,125.75,-51.9202,90.0,top
CX9,129.25,-51.9202,90.0,top
D1,81.6,-99.8,270.0,top
D10,67.4,-99.2,0.0,bottom
D11,83.025,-111.575,180.0,top
D2,88.7,-99.8,270.0,top
D3,95.65,-99.825,270.0,top
D4,123.85,-105.0,90.0,top
D5,127.25,-105.0,90.0,top
D6,130.65,-105.0,90.0,top
D9,93.3,-114.8875,270.0,top
QA1,59.025,-64.4,0.0,top
QA2,59.0035,-80.4053,0.0,top
QA3,69.3775,-64.4033,0.0,top
QA4,69.3775,-80.4053,0.0,top
QA5,79.699,-64.4033,0.0,top
QA6,79.8315,-80.4053,0.0,top
QB1,91.3593,-64.565,0.0,top
QB2,91.2968,-80.567,0.0,top
QB3,101.6375,-64.5572,0.0,top
QB4,101.7244,-80.6265,0.0,top
QB5,112.1756,-64.5414,0.0,top
QB6,112.1337,-80.567,0.0,top
QC1,123.726,-64.6778,0.0,top
QC2,123.8258,-80.6664,0.0,top
QC3,134.1146,-64.6778,0.0,top
QC4,134.2026,-80.6664,0.0,top
QC5,144.427,-64.6778,0.0,top
QC6,144.508,-80.6664,0.0,top
R1,51.6,-66.8875,270.0,top
R10,91.6125,-98.075,0.0,top
R11,112.85,-101.85,90.0,top
R12,138.419,-107.52826,270.0,top
R13,127.2,-111.35,270.0,top
R14,148.2916,-45.2615,270.0,top
R15,145.65,-102.0,90.0,top
R16,102.9,-101.9,90.0,top
R17,98.4,-101.9,90.0,top
R18,116.15,-109.0,0.0,top
R19,113.15,-110.45,0.0,top
R2,51.6282,-63.175,90.0,top
R20,113.15,-112.05,0.0,top
R21,116.15,-107.5,0.0,top
R22,116.425,-105.7,180.0,top
R23,113.1,-106.3,0.0,top
R24,104.55,-101.9,90.0,top
R25,107.625,-101.9,90.0,top
R26,109.15,-101.875,90.0,top
R27,99.9,-101.9,90.0,top
R28,131.669,-108.29076,90.0,top
R29,101.8,-111.4,270.0,top
R3,120.15,-108.075,90.0,top
R30,110.75,-111.25,270.0,top
R31,110.75,-105.85,90.0,top
R32,101.71,-105.2,90.0,top
R33,129.4,-101.9,90.0,top
R34,126.0,-101.9,90.0,top
R35,122.6,-101.9,90.0,top
R36,100.15,-111.4,270.0,top
R37,116.9,-111.4,270.0,top
R38,147.15,-102.0,90.0,top
R39,119.4,-111.4,270.0,top
R41,106.1,-101.9,270.0,top
R42,95.05,-110.545,0.0,top
R43,91.48,-110.555,0.0,top
R44,78.9,-99.85,0.0,top
R45,85.95,-99.9,0.0,top
R46,92.975,-99.925,0.0,top
R47,76.65,-100.675,270.0,top
R48,82.125,-108.125,90.0,top
R49,83.675,-100.65,270.0,top
R5,77.6,-98.1,0.0,top
R50,89.125,-108.15,90.0,top
R51,90.7,-100.7,270.0,top
R52,96.15,-108.15,90.0,top
R6,119.1,-101.9,90.0,top
R67,95.0,-114.9,90.0,top
R7,84.525,-98.05,0.0,top
R8,116.1,-101.9,90.0,top
R9,130.169,-108.29076,270.0,top
RG1,53.7782,-68.0486,90.0,top
RG10,85.9,-83.8,270.0,top
RG11,96.6213,-84.70625,90.0,top
RG12,106.934,-84.64325,90.0,top
RG13,118.2935,-67.7804,90.0,top
RG14,128.8895,-68.0269,90.0,top
RG15,139.191,-68.02355,90.0,top
RG16,118.41,-83.795,90.0,top
RG17,129.031,-84.79365,90.0,top
RG18,139.319,-84.73065,90.0,top
RG2,64.205,-67.8088,90.0,top
RG3,74.5065,-67.80545,90.0,top
RG4,53.956,-85.0534,90.0,top
RG5,64.262,-84.57555,90.0,top
RG6,74.5065,-84.51255,90.0,top
RG7,85.8584,-67.3628,90.0,top
RG8,96.5264,-67.7946,90.0,top
RG9,106.9404,-67.7692,90.0,top
RN1,141.519,-110.92826,90.0,top
RN2,124.55,-111.35,0.0,top
RN3,134.569,-111.32826,0.0,top
RN4,145.369,-110.92826,270.0,top
RN5,130.569,-111.34076,180.0,top
RN7,87.5,-111.35,180.0,top
SHA1,60.4795,-89.5983,90.0,top
SHA2,80.2915,-89.5983,90.0,top
SHA3,70.3855,-89.5983,90.0,top
SHB1,92.3423,-89.76,90.0,top
SHB2,102.47,-89.76,90.0,top
SHB3,112.6623,-89.76,90.0,top
SHC1,125.042,-89.7204,90.0,top
SHC2,134.864,-89.7204,90.0,top
SHC3,145.0,-89.7204,90.0,top
TH1,96.65,-77.925,90.0,top
U1,78.619,-105.925,90.0,top
U2,85.625,-105.925,90.0,top
U3,92.65,-105.95,90.0,top
U4,106.25,-108.26,270.0,top
